идентификатор	приоритет	требование	модуль	заглавие 	шаги	ожидаемый результат	фактический результат	Дефект	Окружение
1	1. 	Rec01	тестирование сайта alefowl.com без регистрации	тестирование без регистрации	1. открыть сайт. Название и логотип	Сайт открывается. Можем настроить перевод в Google переводчик. Название сайта понятно, логотип виден	Сайт открывается. Перевод работает, название сайта есть/переводится. Логотипа нет	нет логотипа	"ОС Windows 10 Pro, версия 20H2
браузер Chrome версия 120.0.6099.217"
					"2. Открыть вкладки сайта:
- главная
- ""О нас""
- ""Наша команда""
- ""Стажировка"""	Вкладки открываются. Текст переводится. Текст легкий и понятный	соответствует		
					3. Проверить орфографические и пунктационные ошибки	Текст без ошибок			
					4. Лексическое значение слов	Перевод G/T верный	"internship (интернатура), интернатура это стажировка для врачей
следует заменить на probation или traineeship "	лексическое значение	
					5. Отправить резюме Станиславу Капинусу, Вкладка стажировка	ссылка рабочая. 	Ссылка рабочая. Открывается переписка со СК		
					6. Главная. Выбрать автора.Пройти по ссылке на выбранную книгу. Выбрать язык книги. 	Страница отображает текст книги на двух языках	"При нажатии на автора книги открывается список книг.
Выбор книги делается нажатием на название книги.
Выбор языка выполняется соответствующими стрелками вверху страницы
При выборе книги Джек Лондон ""Белый клык"" на русском языке, открывается страница на английском языке, текст книги на русском.
Выбор языка книги выполняется корректно"	автоматический перевод страниц работает не корректно	
					"7. Нажать на ""следющая глава""/""предыдущая глава"" "	главы переключаются вперед и назад	выполняется корректно		
					8. Перечень книг автора. Количество экземпляров книг на одном языке равно 1 книге	Каждая книга представленна в библиотеке на своем языке один раз	"Дублируются некоторые книги
например Н.В. Гоголь ""Вечера на хуторе близ Диканьки""
""Мертвые души"""	дублирование книг	
					9. Выбор номера страницы	Книга открыта. Есть возможность выбрать страницу	нет возможности выбрать страницу книги	выбор страницы книги	
					10. Открыть книгу выбрать рус/англ языки	Страница отображает текст книги на двух языках	"Н.В. Гоголь ""Вечера на хуторе близ Диканьки"" том1. При выборе англ языка, отображается искаженный русский перевод с компьютерного переводчика"	неккоректный перевод	
					"11. Ориентированность по книгам:
открыть английские книги
открыть русские книги
открыть немецкие книги
открыть французские книги"	"Английские книги - английские авторы
Русские книги - русские авторы
Немецкие книги - Немецкие авторы
Французские книги - Французские авторы"	не соответствует	ориентрованность авторов 	
					12. Валидация	Поиск книг	"нет Алфавитного указателя
нет строки поиска"	навигация по сайту	
					13. Выделение просмотренных книг	Книга в списке,  которую клиент открывал выделяется цветом	Просмотренная книга в списке не выделяется	Просмотренная книга в списке не выделяется	
